region,position,song_name,song_id,views,duration_ms,popularity,artist_name,artist_id,album_name,album_id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
Australia,2,deja vu,6HU7h9RYOaPRFeh0R3UeAr,1848125,215506,89,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,['pop']
Australia,3,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,1790316,208866,98,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Kiss Me More (feat. SZA),1OnzqJTL9bwe4kvaLxRYxt,2021-04-09,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,"['dance pop', 'pop', 'pop rap']"
Australia,4,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",6uvMKqNlrSvcC4NaKnrwjZ,1592036,278085,91,Tion Wayne,7b79bQFziJFedJb75k6hFt,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",3ucQ8ogD2Li2U0rwkrdwlx,2021-04-22,0.883,0.674,11,-8.043,0,0.357,0.21,0.0,0.0678,0.73,141.02,"['london rap', 'uk hip hop']"
Australia,5,drivers license,5wANPM4fQCJwkGd4rN57mH,1490199,242013,88,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,['pop']
Australia,6,traitor,5CZ40GBx1sQ9agT82CLQCT,1404042,229226,91,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,['pop']
Australia,7,Heat Waves,02MWAaffLxlfxAUY7c5dvx,1251034,238805,85,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,Dreamland (+ Bonus Levels),0KTj6k94XZh0c6IEMfxeWV,2020-08-06,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,"['gauze pop', 'indietronica', 'shiver pop']"
Australia,8,MONTERO (Call Me By Your Name),67BtfxlNbhBmCDR2L2l8qd,1246943,137875,100,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,MONTERO (Call Me By Your Name),2Hjcfw8zHN4dJDZJGOzLd6,2021-03-31,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,"['lgbtq+ hip hop', 'pop rap']"
Australia,9,brutal,6SRsiMl7w1USE4mFqrOhHC,1229763,143746,90,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,['pop']
Australia,10,Astronaut In The Ocean,3VT8hOC5vuDXBsHrR53WFh,1155663,132780,75,Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd,Astronaut In The Ocean,57UjGWNfxfsBCykDm73XBK,2019-06-07,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,['australian hip hop']
Australia,11,enough for you,2TOzTqQXNmR2zDJXihjZ2e,1142031,202826,90,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,0.638,0.259,7,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485,['pop']
Australia,12,Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,1071040,203064,91,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Future Nostalgia,5lKlFlReHOLShQKyRv6AL9,2020-03-27,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,"['dance pop', 'pop', 'uk pop']"
Australia,13,happier,2tGvwE8GcFKwNdAXMnlbfl,1063517,175933,90,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,['pop']
Australia,14,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,1052315,198081,99,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Justice,5dGWwsZ9iB2Xc3UKR0gif2,2021-03-19,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,"['canadian pop', 'pop', 'post-teen pop']"
